store,city,address,url
4065,Burlington,"Supercentre (Guelph Line), Supercentre, 2025 Guelph Line",http://www.thebeerstore.ca/locations/supercentre-guelph-line
4070,Caledonia,"Caledonia, 272 Argyle St. S.",http://www.thebeerstore.ca/locations/caledonia
4158,Cambridge,"Chopin St. S. (Preston), 140 Chopin Street S.",http://www.thebeerstore.ca/locations/chopin-st-s-preston
4157,Cambridge,"S. Cambridge Mall (Hwy 97), S. Cambridge Mall, 200 Franklin Blvd.",http://www.thebeerstore.ca/locations/s-cambridge-mall-hwy-97
4162,Cambridge,"Tricity Centre, 150 Holiday Inn Drive",http://www.thebeerstore.ca/locations/tricity-centre
4161,Cambridge,"Westgate Plaza (Cedar St.), Westgate Plaza, 130 Cedar Street",http://www.thebeerstore.ca/locations/westgate-plaza-cedar-st
4706,Campbellford,"Campbellford, 80 Centre Street",http://www.thebeerstore.ca/locations/campbellford
4658,Carleton Place,"Carleton Place, 151 Town Line",http://www.thebeerstore.ca/locations/carleton-place
3591,Chapleau,"Chapleau, 59 Lisgar Street",http://www.thebeerstore.ca/locations/chapleau-0
3053,Chatham,"Richmond Street, 132 Richmond Street",http://www.thebeerstore.ca/locations/richmond-street
3052,Chatham,"St.clair Avenue, 445 St Clair St.",http://www.thebeerstore.ca/locations/stclair-avenue
3607,Chelmsford,"Chelmsford, 199 Aurore Street",http://www.thebeerstore.ca/locations/chelmsford
3203,Clinton,"Clinton, 30 Mill Street",http://www.thebeerstore.ca/locations/clinton
4554,Coboconk,"Coboconk, 6716 Hwy #35",http://www.thebeerstore.ca/locations/coboconk
2141,Cobourg,"Cobourg, 476 Division Street",http://www.thebeerstore.ca/locations/cobourg
3741,Cochrane,"Cochrane, 8 James Bay Road",http://www.thebeerstore.ca/locations/cochrane
3410,Coldwater,"Coldwater, 16 Sturgeon Bay Road",http://www.thebeerstore.ca/locations/coldwater
3441,Collingwood,"Collingwood, 415 First Street",http://www.thebeerstore.ca/locations/collingwood
3613,Coniston,"Coniston Mall, Coniston Mall, 24 Amanda Street",http://www.thebeerstore.ca/locations/coniston-mall
4352,Cornwall,"Bridge Store (2nd St. E.), East Court Mall, 1396 2nd Street East",http://www.thebeerstore.ca/locations/bridge-store-2nd-st-e
4353,Cornwall,"Brookdale Ave., 960 Brookdale Ave.",http://www.thebeerstore.ca/locations/brookdale-ave
4351,Cornwall,"Sydney St., 838 Sydney Street",http://www.thebeerstore.ca/locations/sydney-st
3154,Corunna,"Corunna, 195 St. Clair Blvd.",http://www.thebeerstore.ca/locations/corunna
4652,Deep River,"Deep River, 3322 5 Highway #17",http://www.thebeerstore.ca/locations/deep-river
3005,Delhi,"Delhi, 64 Argyle Avenue",http://www.thebeerstore.ca/locations/delhi
3119,Dorchester,"Dorchester, 4367 Hamilton Road",http://www.thebeerstore.ca/locations/dorchester
3490,Dryden,"Dryden, 79 Queen Street",http://www.thebeerstore.ca/locations/dryden-0
4071,Dundas,"Dundas, 55 Cootes Drive",http://www.thebeerstore.ca/locations/dundas
4216,Dunnville,"Dunnville, 240 Main St. E.",http://www.thebeerstore.ca/locations/dunnville
4102,Durham,"Durham, 626 Garafraxa Highway 6",http://www.thebeerstore.ca/locations/durham
2402,East York,"Donlands/O'connor, 380 Donlands Avenue",http://www.thebeerstore.ca/locations/donlandsoconnor
2407,East York,"Woodbine/Barker, 1270 Woodbine Avenue",http://www.thebeerstore.ca/locations/woodbinebarker
4653,Eganville,"Eganville, 8647 Hwy # 60",http://www.thebeerstore.ca/locations/eganville
3556,Elliot Lake,"Elliot Lake, 12 Hillside Dr. S.",http://www.thebeerstore.ca/locations/elliot-lake
4159,Elmira,"Elmira, 6 Wyatt Street East",http://www.thebeerstore.ca/locations/elmira
3411,Elmvale,"Elmvale, 58 Queen Street West",http://www.thebeerstore.ca/locations/elmvale
4168,Elora,"Elora, 2-6458 Wellington Road 7",http://www.thebeerstore.ca/locations/elora
4621,Embrun,"Embrun, 753 Notre Dame St",http://www.thebeerstore.ca/locations/embrun
4008,Erin,"Erin, Erin Town Centre, 140 Main Street",http://www.thebeerstore.ca/locations/erin
3642,Espanola,"Espanola, 124 Station Road",http://www.thebeerstore.ca/locations/espanola
3265,Essex,"Essex, 160 Talbot St. N.",http://www.thebeerstore.ca/locations/essex
2362,Etobicoke,"Albion Mall (Albion/Kipling), Albion Mall, 1530 Albion Road",http://www.thebeerstore.ca/locations/albion-mall-albionkipling
2310,Etobicoke,"Bloor/Islington, 3429 Bloor Street W.",http://www.thebeerstore.ca/locations/bloorislington
2320,Etobicoke,"Burnhamthorpe/Saturn, Burnhamthorpe Mall, 666 Burnhamthorpe Road",http://www.thebeerstore.ca/locations/burnhamthorpesaturn
2313,Etobicoke,"Cloverdale (East Mall), Cloverdale (east Mall), 10 The East Mall Cres.",http://www.thebeerstore.ca/locations/cloverdale-east-mall
2363,Etobicoke,"Eglinton/Wincott, Richview Square, 250 Wincott Drive",http://www.thebeerstore.ca/locations/eglintonwincott
2360,Etobicoke,"Kipling/Dixon, Westway Shopping Centre, 1735 Kipling Avenue",http://www.thebeerstore.ca/locations/kiplingdixon
2308,Etobicoke,"Long Branch, 3560 Lakeshore Blvd. W.",http://www.thebeerstore.ca/locations/long-branch
2307,Etobicoke,"Mimico, 2458 Lakeshore Blvd. W.",http://www.thebeerstore.ca/locations/mimico
3155,Exeter,"Exeter, 78 Main Street N.",http://www.thebeerstore.ca/locations/exeter
4555,Fenelon Falls,"Fenelon Falls, 125 Lindsay Street",http://www.thebeerstore.ca/locations/fenelon-falls
4005,Fergus,"Fergus, 720 St. David St. N.",http://www.thebeerstore.ca/locations/fergus
3156,Forest,"Forest, 89 Main St. S.",http://www.thebeerstore.ca/locations/forest
4242,Fort Erie,"Fort Erie, 194 Garrison Road",http://www.thebeerstore.ca/locations/fort-erie
3492,Fort Frances,"Fort Frances, 343 Fifth St. East",http://www.thebeerstore.ca/locations/fort-frances-0
4507,Gananoque,"Gananoque, 580 King St. E.",http://www.thebeerstore.ca/locations/gananoque
3614,Garson,"Garson, 3098 Falconbridge Highway",http://www.thebeerstore.ca/locations/garson
2008,Georgetown,"Georgetown, 236 Guelph St.",http://www.thebeerstore.ca/locations/georgetown
3691,Geraldton,"Geraldton, 101 First St. W.",http://www.thebeerstore.ca/locations/geraldton-0
3204,Goderich,"Goderich, 395 Huron Road",http://www.thebeerstore.ca/locations/goderich
3191,Grand Bend,"Grand Bend, 21 Ontario Street North",http://www.thebeerstore.ca/locations/grand-bend
3442,Gravenhurst,"Gravenhurst, 230 David Street",http://www.thebeerstore.ca/locations/gravenhurst
4072,Grimsby,"Grimsby, 44 Livingston Ave.",http://www.thebeerstore.ca/locations/grimsby
4003,Guelph,"Municipal St., 15 Municipal Street",http://www.thebeerstore.ca/locations/municipal-st
4009,Guelph,"South Guelph, 63 Clair Road East",http://www.thebeerstore.ca/locations/south-guelph
4007,Guelph,"Willow West Mall, Willow West Mall, 111 Silvercreek Parkway N.",http://www.thebeerstore.ca/locations/willow-west-mall
4040,Guelph,"Woolwich St., 710 Woolwich Street",http://www.thebeerstore.ca/locations/woolwich-st
3006,Hagersville,"Hagersville, Beckers Mall, 55 Main Street N",http://www.thebeerstore.ca/locations/hagersville
4556,Haliburton,"Haliburton, 15 Hops Drive",http://www.thebeerstore.ca/locations/haliburton
4075,Hamilton,"Barton/Mary, 150 Barton St. E.",http://www.thebeerstore.ca/locations/bartonmary
4057,Hamilton,"Barton/Ottawa, The Centre, 1111 Barton St. E.",http://www.thebeerstore.ca/locations/bartonottawa
4055,Hamilton,"Dundurn St.s., 229 Dundurn St. S.",http://www.thebeerstore.ca/locations/dundurn-sts
4060,Hamilton,"Eastgate (Queenston/Hwy. #20), Eastgate Mall, 75 Centennial Pkwy N",http://www.thebeerstore.ca/locations/eastgate-queenstonhwy-20
4059,Hamilton,"Gage/Fennel, 959 Fennell Ave. East",http://www.thebeerstore.ca/locations/gagefennel
4078,Hamilton,"Hamilton, Stone Church Centre, 1408 Upper James Street",http://www.thebeerstore.ca/locations/hamilton
4054,Hamilton,"Main St. E., 1462 Main St. E.",http://www.thebeerstore.ca/locations/main-st-e
4062,Hamilton,"Mohawk Rd. E., 499 Mohawk Road E.",http://www.thebeerstore.ca/locations/mohawk-rd-e
4056,Hamilton,"Parkdale N., 282 Parkdale N.",http://www.thebeerstore.ca/locations/parkdale-n
4058,Hamilton,"Upper James St., Mt. Plaza Mall, 673 Upper James St",http://www.thebeerstore.ca/locations/upper-james-st
4063,Hamilton,"Westcliffe Mall (Mohawk W.), Westcliffe Mall, 584 Mohawk Road W.",http://www.thebeerstore.ca/locations/westcliffe-mall-mohawk-w
3610,Hanmer,"Hanmer, 5085 Municipal Rd. #80",http://www.thebeerstore.ca/locations/hanmer
4140,Hanover,"Hanover, 576 11th Street",http://www.thebeerstore.ca/locations/hanover
3266,Harrow,"Harrow, 398 King Street W.",http://www.thebeerstore.ca/locations/harrow
4707,Hastings,"Hastings, 23 Front Street East",http://www.thebeerstore.ca/locations/hastings
4708,Havelock,"Havelock, 28 Ottawa Street",http://www.thebeerstore.ca/locations/havelock
4641,Hawkesbury,"Hawkesbury, 1036 Lansdowne Road",http://www.thebeerstore.ca/locations/hawkesbury
3742,Hearst,"Hearst, 1106 Front Street",http://www.thebeerstore.ca/locations/hearst-0
3541,Huntsville,"Huntsville, 18 Hanes Road",http://www.thebeerstore.ca/locations/huntsville
3205,Ingersoll,"Ingersoll, 62 Charles Street W.",http://www.thebeerstore.ca/locations/ingersoll
3418,Innisfil,"Stroud, 7947 Yonge Street",http://www.thebeerstore.ca/locations/stroud
3743,Iroquois Falls,"Iroquois Falls, 227 Cambridge Avenue",http://www.thebeerstore.ca/locations/iroquois-falls
4630,Kanata,"Kanata, 720 Eagleson Road",http://www.thebeerstore.ca/locations/kanata-0
4622,Kanata,"Kanata, Signature Centre, 499 Terry Fox Drive",http://www.thebeerstore.ca/locations/kanata
3744,Kapuskasing,"Kapuskasing, 25 Government Road",http://www.thebeerstore.ca/locations/kapuskasing-0
4627,Kemptville,"Kemptville, 330 Colonnade Drive",http://www.thebeerstore.ca/locations/kemptville
